bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
29.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,7305.0,7053.0,252.0,28.305975839788097,91.97080291970804,63.66482707991994,27.988095238095237,100800.0,211590.0,-110790.0
30.0,252.0,252.0,0.0,100.0,0.0,7557.0,7305.0,252.0,29.31733354737729,91.97080291970804,62.65346937233075,28.988095238095237,100800.0,219150.0,-118350.0
31.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,7809.0,7556.0,253.0,30.324677930730022,92.33576642335767,62.01108849262765,29.865612648221344,101200.0,226680.0,-125480.0
32.0,252.0,252.0,0.0,100.0,0.0,8061.0,7808.0,253.0,31.33603563831922,92.33576642335767,60.99973078503845,30.861660079051383,101200.0,234240.0,-133040.0
33.0,252.0,252.0,0.0,100.0,0.0,8313.0,8060.0,253.0,32.347393345908415,92.33576642335767,59.98837307744925,31.857707509881422,101200.0,241800.0,-140600.0
34.0,252.0,252.0,0.0,100.0,0.0,8565.0,8312.0,253.0,33.35875105349761,92.33576642335767,58.977015369860055,32.85375494071146,101200.0,249360.0,-148160.0
35.0,252.0,252.0,0.0,100.0,0.0,8817.0,8564.0,253.0,34.37010876108681,92.33576642335767,57.96565766227086,33.8498023715415,101200.0,256920.0,-155720.0
36.0,252.0,250.0,2.0,99.2063492063492,0.7936507936507979,9069.0,8814.0,255.0,35.373439820203075,93.06569343065694,57.69225361045386,34.56470588235294,102000.0,264420.0,-162420.0
37.0,252.0,252.0,0.0,100.0,0.0,9321.0,9066.0,255.0,36.38479752779227,93.06569343065694,56.68089590286466,35.55294117647059,102000.0,271980.0,-169980.0
38.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,9573.0,9317.0,256.0,37.392141911145,93.43065693430657,56.038515023161565,36.39453125,102400.0,279510.0,-177110.0
39.0,251.0,251.0,0.0,100.0,0.0,9824.0,9568.0,256.0,38.399486294497734,93.43065693430657,55.031170639808835,37.375,102400.0,287040.0,-184640.0
40.0,252.0,252.0,0.0,100.0,0.0,10076.0,9820.0,256.0,39.410844002086925,93.43065693430657,54.019812932219644,38.359375,102400.0,294600.0,-192200.0
41.0,252.0,252.0,0.0,100.0,0.0,10328.0,10072.0,256.0,40.42220170967612,93.43065693430657,53.008455224630445,39.34375,102400.0,302160.0,-199760.0
42.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,10580.0,10323.0,257.0,41.429546093028854,93.7956204379562,52.36607434492735,40.16731517509728,102800.0,309690.0,-206890.0
43.0,252.0,252.0,0.0,100.0,0.0,10832.0,10575.0,257.0,42.44090380061805,93.7956204379562,51.35471663733815,41.14785992217899,102800.0,317250.0,-214450.0
44.0,252.0,252.0,0.0,100.0,0.0,11084.0,10827.0,257.0,43.45226150820725,93.7956204379562,50.34335892974895,42.1284046692607,102800.0,324810.0,-222010.0
45.0,252.0,252.0,0.0,100.0,0.0,11336.0,11079.0,257.0,44.46361921579644,93.7956204379562,49.33200122215976,43.10894941634241,102800.0,332370.0,-229570.0
46.0,252.0,252.0,0.0,100.0,0.0,11588.0,11331.0,257.0,45.47497692338564,93.7956204379562,48.32064351457056,44.08949416342413,102800.0,339930.0,-237130.0
47.0,252.0,252.0,0.0,100.0,0.0,11840.0,11583.0,257.0,46.48633463097484,93.7956204379562,47.309285806981364,45.070038910505836,102800.0,347490.0,-244690.0
48.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,12092.0,11834.0,258.0,47.49367901432757,94.16058394160584,46.66690492727827,45.86821705426357,103200.0,355020.0,-251820.0
49.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,12344.0,12085.0,259.0,48.5010233976803,94.52554744525547,46.02452404757517,46.66023166023166,103600.0,362550.0,-258950.0
50.0,252.0,252.0,0.0,100.0,0.0,12596.0,12337.0,259.0,49.5123811052695,94.52554744525547,45.01316633998597,47.633204633204635,103600.0,370110.0,-266510.0
51.0,251.0,251.0,0.0,100.0,0.0,12847.0,12588.0,259.0,50.51972548862223,94.52554744525547,44.00582195663324,48.602316602316606,103600.0,377640.0,-274040.0
52.0,252.0,252.0,0.0,100.0,0.0,13099.0,12840.0,259.0,51.53108319621142,94.52554744525547,42.99446424904405,49.575289575289574,103600.0,385200.0,-281600.0
53.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,13351.0,13091.0,260.0,52.53842757956415,94.8905109489051,42.35208336934095,50.35,104000.0,392730.0,-288730.0
54.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,13603.0,13342.0,261.0,53.54577196291688,95.25547445255475,41.70970248963787,51.11877394636015,104400.0,400260.0,-295860.0
55.0,252.0,252.0,0.0,100.0,0.0,13855.0,13594.0,261.0,54.55712967050608,95.25547445255475,40.69834478204867,52.08429118773947,104400.0,407820.0,-303420.0
56.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,14107.0,13845.0,262.0,55.56447405385881,95.62043795620438,40.055963902345574,52.843511450381676,104800.0,415350.0,-310550.0
57.0,252.0,252.0,0.0,100.0,0.0,14359.0,14097.0,262.0,56.57583176144801,95.62043795620438,39.044606194756376,53.80534351145038,104800.0,422910.0,-318110.0
58.0,252.0,252.0,0.0,100.0,0.0,14611.0,14349.0,262.0,57.587189469037206,95.62043795620438,38.03324848716718,54.767175572519086,104800.0,430470.0,-325670.0
59.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,14863.0,14600.0,263.0,58.59453385238994,95.98540145985402,37.39086760746408,55.51330798479088,105200.0,438000.0,-332800.0
