bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
26.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,15283.0,14726.0,557.0,25.314149175734446,91.91419141914191,66.60004224340747,26.438061041292638,222800.0,441780.0,-218980.0
27.0,587.0,587.0,0.0,100.0,0.0,15870.0,15313.0,557.0,26.323208361267255,91.91419141914191,65.59098305787467,27.491921005385997,222800.0,459390.0,-236590.0
28.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,16458.0,15899.0,559.0,27.330548536262526,92.24422442244224,64.91367588617972,28.441860465116278,223600.0,476970.0,-253370.0
29.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,17046.0,16486.0,560.0,28.339607721795335,92.40924092409242,64.06963320229708,29.439285714285713,224000.0,494580.0,-270580.0
30.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,17634.0,17073.0,561.0,29.34866690732814,92.57425742574257,63.225590518414435,30.433155080213904,224400.0,512190.0,-287790.0
31.0,587.0,587.0,0.0,100.0,0.0,18221.0,17660.0,561.0,30.35772609286095,92.57425742574257,62.21653133288162,31.479500891265598,224400.0,529800.0,-305400.0
32.0,588.0,588.0,0.0,100.0,0.0,18809.0,18248.0,561.0,31.36850428893129,92.57425742574257,61.20575313681128,32.52762923351159,224400.0,547440.0,-323040.0
33.0,588.0,588.0,0.0,100.0,0.0,19397.0,18836.0,561.0,32.37928248500163,92.57425742574257,60.19497494074094,33.57575757575758,224400.0,565080.0,-340680.0
34.0,588.0,588.0,0.0,100.0,0.0,19985.0,19424.0,561.0,33.39006068107197,92.57425742574257,59.1841967446706,34.623885918003566,224400.0,582720.0,-358320.0
35.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,20573.0,20011.0,562.0,34.399119866604785,92.73927392739274,58.34015406078796,35.6067615658363,224800.0,600330.0,-375530.0
36.0,587.0,587.0,0.0,100.0,0.0,21160.0,20598.0,562.0,35.40817905213759,92.73927392739274,57.331094875255154,36.65124555160142,224800.0,617940.0,-393140.0
